MCM_DECISION | long_score=-1.6720 short_score=0.7717 memory_center=1.3549 memory_strength=25 self_state=stressed attractor=neutral felt_bearing_score=0.6025 felt_profile_label=recovering best_score=0.7717 reject_reason=-
MCM_DECISION | long_score=0.5542 short_score=-2.1157 memory_center=-1.0396 memory_strength=36 self_state=stressed attractor=defense felt_bearing_score=0.3709 felt_profile_label=mixed_unclear best_score=0.5542 reject_reason=-
MCM_DECISION | long_score=-0.5691 short_score=-0.6079 memory_center=1.4623 memory_strength=33 self_state=stressed attractor=neutral felt_bearing_score=0.6014 felt_profile_label=recovering best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=1.5532 short_score=-2.9901 memory_center=2.2160 memory_strength=33 self_state=stressed attractor=explore felt_bearing_score=0.5986 felt_profile_label=recovering best_score=1.5532 reject_reason=-
MCM_DECISION | long_score=-1.6324 short_score=0.0278 memory_center=1.2905 memory_strength=22 self_state=stressed attractor=neutral felt_bearing_score=0.6386 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-3.1321 short_score=1.4786 memory_center=-2.4197 memory_strength=18 self_state=stressed attractor=defense felt_bearing_score=0.6136 felt_profile_label=mixed_unclear best_score=1.4786 reject_reason=-
MCM_DECISION | long_score=-2.5803 short_score=1.0387 memory_center=-0.0715 memory_strength=20 self_state=stressed attractor=cooperate felt_bearing_score=0.6046 felt_profile_label=mixed_unclear best_score=1.0387 reject_reason=-
MCM_DECISION | long_score=-0.3158 short_score=-1.0069 memory_center=-0.9974 memory_strength=29 self_state=stressed attractor=defense felt_bearing_score=0.6259 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6250 short_score=-2.0489 memory_center=-1.5815 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.6188 felt_profile_label=mixed_unclear best_score=0.6250 reject_reason=-
MCM_DECISION | long_score=-1.9867 short_score=0.2400 memory_center=-0.8709 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.6051 felt_profile_label=mixed_unclear best_score=0.2400 reject_reason=-
MCM_DECISION | long_score=1.0007 short_score=-2.3097 memory_center=2.2944 memory_strength=21 self_state=stressed attractor=explore felt_bearing_score=0.3737 felt_profile_label=recovering best_score=1.0007 reject_reason=-
MCM_DECISION | long_score=-2.0721 short_score=0.3337 memory_center=1.2933 memory_strength=47 self_state=stressed attractor=neutral felt_bearing_score=0.6574 felt_profile_label=mixed_unclear best_score=0.3337 reject_reason=-
MCM_DECISION | long_score=-1.8274 short_score=0.1128 memory_center=-0.8912 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6130 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.3478 short_score=-2.8916 memory_center=-0.3116 memory_strength=19 self_state=stressed attractor=defense felt_bearing_score=0.5731 felt_profile_label=mixed_unclear best_score=1.3478 reject_reason=-
